256 256
0 0 6
0 1 3
0 2 8
0 3 10
0 4 9
0 5 10
0 6 10
0 7 1
0 8 9
0 9 6
0 10 2
0 11 1
0 12 7
0 13 7
0 14 4
0 15 3
0 16 1
0 17 10
0 18 1
0 19 2
0 20 3
0 21 5
0 22 4
0 23 2
0 24 9
0 25 4
0 26 4
0 27 9
0 28 1
0 29 8
0 30 7
0 31 5
0 32 5
0 33 1
0 34 7
0 35 8
0 36 8
0 37 1
0 38 4
0 39 5
0 40 4
0 41 8
0 42 9
0 43 7
0 44 10
0 45 4
0 46 9
0 47 9
0 48 2
0 49 10
0 50 1
0 51 1
0 52 7
0 53 10
0 54 4
0 55 8
0 56 2
0 57 6
0 58 1
0 59 5
0 60 3
0 61 5
0 62 3
0 63 5
0 64 5
0 65 10
0 66 8
0 67 5
0 68 2
0 69 1
0 70 2
0 71 3
0 72 2
0 73 7
0 74 1
0 75 4
0 76 5
0 77 5
0 78 3
0 79 9
0 80 8
0 81 7
0 82 4
0 83 7
0 84 4
0 85 5
0 86 8
0 87 7
0 88 6
0 89 5
0 90 7
0 91 10
0 92 3
0 93 8
0 94 10
0 95 7
0 96 3
0 97 7
0 98 2
0 99 2
0 100 3
0 101 1
0 102 1
0 103 6
0 104 9
0 105 10
0 106 4
0 107 10
0 108 6
0 109 1
0 110 8
0 111 9
0 112 7
0 113 5
0 114 5
0 115 2
0 116 1
0 117 2
0 118 3
0 119 3
0 120 1
0 121 10
0 122 4
0 123 8
0 124 5
0 125 7
0 126 4
0 127 5
0 128 4
0 129 3
0 130 4
0 131 3
0 132 3
0 133 6
0 134 4
0 135 5
0 136 5
0 137 10
0 138 6
0 139 3
0 140 4
0 141 3
0 142 9
0 143 4
0 144 6
0 145 5
0 146 10
0 147 1
0 148 6
0 149 2
0 150 8
0 151 5
0 152 5
0 153 8
0 154 1
0 155 7
0 156 10
0 157 3
0 158 2
0 159 6
0 160 5
0 161 4
0 162 1
0 163 2
0 164 3
0 165 9
0 166 1
0 167 1
0 168 1
0 169 6
0 170 1
0 171 3
0 172 7
0 173 8
0 174 5
0 175 6
0 176 10
0 177 9
0 178 10
0 179 2
0 180 8
0 181 1
0 182 7
0 183 2
0 184 10
0 185 7
0 186 4
0 187 7
0 188 5
0 189 3
0 190 4
0 191 7
0 192 2
0 193 8
0 194 10
0 195 8
0 196 9
0 197 5
0 198 9
0 199 2
0 200 2
0 201 5
0 202 2
0 203 3
0 204 6
0 205 2
0 206 7
0 207 2
0 208 4
0 209 3
0 210 5
0 211 1
0 212 10
0 213 3
0 214 6
0 215 8
0 216 10
0 217 1
0 218 1
0 219 2
0 220 9
0 221 2
0 222 4
0 223 1
0 224 1
0 225 2
0 226 6
0 227 8
0 228 8
0 229 2
0 230 8
0 231 5
0 232 8
0 233 1
0 234 6
0 235 3
0 236 4
0 237 7
0 238 3
0 239 8
0 240 8
0 241 2
0 242 2
0 243 1
0 244 1
0 245 1
0 246 2
0 247 8
0 248 8
0 249 8
0 250 2
0 251 3
0 252 1
0 253 4
0 254 8
0 255 1
1 0 7
1 1 9
1 2 6
1 3 10
1 4 4
1 5 2
1 6 2
1 7 10
1 8 8
1 9 8
1 10 4
1 11 10
1 12 9
1 13 9
1 14 10
1 15 1
1 16 9
1 17 6
1 18 5
1 19 2
1 20 10
1 21 5
1 22 8
1 23 4
1 24 10
1 25 1
1 26 1
1 27 8
1 28 1
1 29 10
1 30 10
1 31 1
1 32 5
1 33 8
1 34 7
1 35 7
1 36 3
1 37 2
1 38 7
1 39 7
1 40 4
1 41 8
1 42 3
1 43 2
1 44 9
1 45 9
1 46 4
1 47 3
1 48 6
1 49 7
1 50 10
1 51 5
1 52 5
1 53 8
1 54 8
1 55 5
1 56 1
1 57 1
1 58 7
1 59 1
1 60 8
1 61 1
1 62 2
1 63 9
1 64 8
1 65 7
1 66 1
1 67 1
1 68 10
1 69 7
1 70 4
1 71 8
1 72 1
1 73 3
1 74 6
1 75 5
1 76 4
1 77 9
1 78 9
1 79 1
1 80 2
1 81 5
1 82 8
1 83 5
1 84 8
1 85 10
1 86 2
1 87 6
1 88 6
1 89 1
1 90 10
1 91 10
1 92 8
1 93 8
1 94 10
1 95 2
1 96 10
1 97 3
1 98 8
1 99 1
1 100 3
1 101 4
1 102 5
1 103 3
1 104 8
1 105 8
1 106 7
1 107 7
1 108 8
1 109 2
1 110 10
1 111 7
1 112 4
1 113 1
1 114 3
1 115 1
1 116 9
1 117 10
1 118 1
1 119 3
1 120 7
1 121 5
1 122 6
1 123 9
1 124 1
1 125 3
1 126 7
1 127 2
1 128 9
1 129 5
1 130 1
1 131 4
1 132 8
1 133 2
1 134 5
1 135 9
1 136 9
1 137 10
1 138 3
1 139 5
1 140 1
1 141 4
1 142 1
1 143 7
1 144 4
1 145 2
1 146 6
1 147 3
1 148 8
1 149 6
1 150 8
1 151 8
1 152 1
1 153 2
1 154 9
1 155 2
1 156 5
1 157 8
1 158 10
1 159 8
1 160 2
1 161 5
1 162 3
1 163 10
1 164 8
1 165 4
1 166 9
1 167 5
1 168 2
1 169 7
1 170 2
1 171 1
1 172 3
1 173 2
1 174 4
1 175 7
1 176 9
1 177 6
1 178 2
1 179 5
1 180 1
1 181 9
1 182 9
1 183 9
1 184 10
1 185 9
1 186 7
1 187 2
1 188 4
1 189 10
1 190 1
1 191 5
1 192 9
1 193 3
1 194 10
1 195 4
1 196 3
1 197 3
1 198 5
1 199 3
1 200 10
1 201 10
1 202 4
1 203 4
1 204 1
1 205 6
1 206 8
1 207 2
1 208 7
1 209 4
1 210 3
1 211 5
1 212 9
1 213 2
1 214 2
1 215 1
1 216 6
1 217 7
1 218 8
1 219 10
1 220 3
1 221 5
1 222 8
1 223 1
1 224 1
1 225 10
1 226 2
1 227 5
1 228 3
1 229 2
1 230 1
1 231 1
1 232 9
1 233 2
1 234 4
1 235 1
1 236 8
1 237 1
1 238 1
1 239 1
1 240 8
1 241 4
1 242 9
1 243 7
1 244 3
1 245 5
1 246 4
1 247 3
1 248 5
1 249 1
1 250 5
1 251 6
1 252 3
1 253 1
1 254 3
1 255 3
2 0 4
2 1 2
2 2 9
2 3 2
2 4 3
2 5 4
2 6 8
2 7 3
2 8 10
2 9 2
2 10 1
2 11 5
2 12 3
2 13 8
2 14 1
2 15 9
2 16 8
2 17 2
2 18 8
2 19 8
2 20 5
2 21 7
2 22 1
2 23 8
2 24 10
2 25 10
2 26 10
2 27 1
2 28 7
2 29 1
2 30 3
2 31 7
2 32 8
2 33 1
2 34 9
2 35 6
2 36 10
2 37 9
2 38 2
2 39 8
2 40 2
2 41 2
2 42 9
2 43 4
2 44 4
2 45 9
2 46 6
2 47 3
2 48 9
2 49 2
2 50 2
2 51 7
2 52 6
2 53 4
2 54 10
2 55 4
2 56 4
2 57 9
2 58 6
2 59 9
2 60 7
2 61 7
2 62 10
2 63 7
2 64 5
2 65 9
2 66 9
2 67 3
2 68 10
2 69 8
2 70 8
2 71 10
2 72 8
2 73 4
2 74 9
2 75 9
2 76 5
2 77 4
2 78 6
2 79 8
2 80 4
2 81 7
2 82 5
2 83 9
2 84 3
2 85 3
2 86 5
2 87 6
2 88 6
2 89 6
2 90 1
2 91 2
2 92 7
2 93 10
2 94 2
2 95 10
2 96 5
2 97 10
2 98 10
2 99 8
2 100 3
2 101 10
2 102 4
2 103 9
2 104 6
2 105 8
2 106 1
2 107 7
2 108 3
2 109 3
2 110 4
2 111 4
2 112 1
2 113 5
2 114 4
2 115 8
2 116 4
2 117 5
2 118 7
2 119 4
2 120 9
2 121 1
2 122 2
2 123 3
2 124 4
2 125 10
2 126 2
2 127 7
2 128 1
2 129 5
2 130 1
2 131 1
2 132 9
2 133 6
2 134 4
2 135 2
2 136 6
2 137 2
2 138 9
2 139 2
2 140 4
2 141 10
2 142 5
2 143 10
2 144 3
2 145 1
2 146 10
2 147 7
2 148 9
2 149 7
2 150 10
2 151 9
2 152 9
2 153 1
2 154 10
2 155 8
2 156 3
2 157 3
2 158 2
2 159 3
2 160 1
2 161 2
2 162 3
2 163 4
2 164 2
2 165 5
2 166 10
2 167 4
2 168 1
2 169 8
2 170 9
2 171 10
2 172 5
2 173 3
2 174 10
2 175 6
2 176 2
2 177 9
2 178 4
2 179 1
2 180 7
2 181 10
2 182 3
2 183 7
2 184 3
2 185 10
2 186 4
2 187 2
2 188 10
2 189 2
2 190 10
2 191 3
2 192 7
2 193 1
2 194 8
2 195 7
2 196 4
2 197 5
2 198 9
2 199 6
2 200 5
2 201 7
2 202 6
2 203 6
2 204 10
2 205 10
2 206 9
2 207 5
2 208 4
